Tropical and subtropical moist broadleaf forests,"Tropical and subtropical grasslands, savannas, and shrublands",Montane grasslands and shrublands,Flooded grasslands and savannas,Deserts and xeric shrublands,region_id
16021.716753027751,29656.0397528196,31003.500315518766,0,0,GD
22357.702999752797,15738.697126209074,25238.394330956955,0,0,GJ
28530.09111463037,29768.664614880876,13662.253421844087,0,0,WG
21053.126988511012,13740.247225661406,17152.354257952262,0,0,KF
11535.159491052993,25173.42859827166,13715.526050321734,769.341266515698,0,IL
13461.103190968215,91866.30803728124,21514.36207901406,0,0,BA
21288.494319459383,82244.05595600326,15558.428960623622,0,2703.9627182407426,SD
10229.124081450136,19804.97676409665,7279.857169173831,0,2184.1079598142546,GG
15397.731998635183,52467.73432717119,7239.15621501655,0,187.75851373464806,EW
305.4133124221041,3193.163474225353,0,0,41862.81360037586,EE
9508.863586454487,3003.1034960715638,24408.18567932671,0,0,WU
23767.415521187017,7866.439852619345,49034.88189615456,0,0,SU
6670.721300338688,1642.9505973487721,17060.956323483264,0,0,AR
14220.35841858744,9668.53887987379,14471.658307379952,0,291.88439122107695,TU
3309.5007299187323,52199.390387238884,0,0,59190.1037926249,AF
26921.32899248065,190937.33815665232,9809.678720677737,0,0,HA
