hfp_2009_class1,hfp_2009_class2,hfp_2009_class3,hfp_2009_class4,hfp_2009_class5,hfp_2009_class6,hfp_2009_class7,hfp_2009_class8,hfp_2009_class9,hfp_2009_class10,region_id
0,0,2681.730329,3638.851859,5936.183166,18464.94237,14020.45298,25474.8168,5816.789484,647.4898249,GD
0,0.001116423,4325.868584,6979.082644,6065.457037,7119.465609,7056.728677,18288.60441,11683.38861,1762.563082,GJ
0,0,1926.566514,4885.49279,8142.461723,17051.80432,15864.72868,18376.47945,5402.150494,257.6905052,WG
0,0,3715.892555,9466.450239,7616.201514,9943.008379,7479.251958,9172.638026,4085.480686,466.8051156,KF
800,3799.546251,6792.510742,8044.393647,6557.919496,12880.48579,6313.461872,5622.98879,382.148816,0,IL
0,0,17414.55674,30096.45449,31950.84638,23942.88012,16281.29176,5971.179947,1159.563868,25,BA
63.01377494,534.5861749,8666.722556,20635.97177,25490.84579,25667.48067,22106.7323,13217.58724,3458.366422,1953.635251,SD
44.59685,65.68839875,2970.163755,2131.29946,4461.274882,10127.48583,8746.521403,9198.146119,1718.742482,75.03174418,GG
0,0,75,2324.564206,9360.078808,28122.7688,23809.07262,9942.532834,1383.363787,275,EW
0,0,65.15969675,18967.19255,8951.408562,8379.002211,6233.358209,2753.061325,118.3866022,16.77483487,EE
0,0,0,534.3652824,2240.379534,10917.85134,10606.08556,10576.38579,1895.085263,150,WU
0,0,0.665934196,29.94888749,574.5196246,4878.190891,9323.899794,29696.37189,27633.33056,8531.809691,SU
0,0,0,0.342012375,1007.082499,3492.150577,4597.599898,8828.914936,6404.123803,1044.414495,AR
0,0,0,232.8545325,3178.238886,8672.559771,14027.85075,11279.70634,1136.229726,125,TU
1.489043447,36.27087033,7897.121917,12065.45185,48201.05637,30078.35915,11848.91839,4335.051694,227.3616364,7.913981912,AF
0,0,1491.686554,59026.58596,58775.35755,48674.62593,37358.92396,17286.9007,4237.179193,817.0860181,HA
