hfp_delta_class1,hfp_delta_class2,hfp_delta_class3,hfp_delta_class4,hfp_delta_class5,region_id
3718.13097090589,5414.842404895748,21593.15760761427,24599.252409562985,21119.855680482477,GD
409.8890900524139,2629.2932165240077,13803.330090245769,25321.5482397584,20941.652831882388,GJ
1505.9657623870412,6448.295321842183,22088.885785492253,31658.177301169595,9932.310952163849,WG
3537.713401175103,8817.362717526328,23709.273154953396,11834.277308633924,3848.3543388157786,KF
2393.488302460414,8207.612780069121,31594.058184333837,7673.816580356061,1079.821063020686,IL
812.4142517906809,2516.321127368288,90057.84600425856,29894.288655792123,3264.8449369748705,BA
3337.188399675961,9304.51221417244,79825.68814585278,25184.765153123986,3568.7750178965825,SD
1563.2298825109551,5995.559293813839,16664.466226354878,13289.156080510502,1726.039180101428,GG
53.810545470312114,940.9965733312476,58810.89596079162,14509.720798073346,631.1437866202201,EW
24.999358318300246,46.3369143566854,42018.774978876725,2767.83593337817,0,EE
3520.9361770773103,6039.5251388152865,12939.254607354824,12305.461492461734,2114.9753461435057,WU
2207.8849001437566,7252.7163906397245,16700.978475790358,26333.717618698156,28011.142831109744,SU
562.8784129884791,2474.7112117516663,7719.965226489995,7719.667495705669,6815.148698154793,AR
788.7146653952198,3528.6139453906035,17233.727840837597,14571.995240616505,2529.3883048226166,TU
12.42606997688055,848.7722835516786,108243.24012998182,5119.58951556846,69.70376515095901,AF
750.0000000000076,2220.4655673888283,167863.3359975201,49718.58815949382,6551.747479863812,HA
